,Event,Event_Description,Fields
0,Teachbot,workshop,"['Computer Science', 'AI']"
1,Teachbot,workshop,"['Computer Science', 'AI']"
2,Teachbot,workshop,"['Mathematics', 'AI,ML,Data Science']"
3,Teachbot,workshop,"['Computer Science,Mathematics,Physics,Chemistry', 'AI,ML,Data Science']"
4,Teachbot,workshop,"['Computer Science', 'AI,ML,Data Science']"
5,Teachbot,workshop,"['Computer Science', 'AI']"
6,Teachbot,workshop,"['Computer Science', 'AI']"
7,Aaruush Nights,Pop Night,"['Computer Science', 'AI,ML,Data Science']"
8,aaruush,"The 16th edition of Aaruush is underway. With the theme, ""Technology for Well-being"", we are committed to innovating for the betterment of the society. Staying true to our tagline, ""Devising ideologies, Unravelling miracles"", we are in the constant pursuit towards infinity.  The Main Days of Aaruush '22 are going to be held from the 27th of October till the 30th of October.","['Computer Science', 'AI']"
9,aaruush,"The 16th edition of Aaruush is underway. With the theme, ""Technology for Well-being"", we are committed to innovating for the betterment of the society. Staying true to our tagline, ""Devising ideologies, Unravelling miracles"", we are in the constant pursuit towards infinity.  The Main Days of Aaruush '22 are going to be held from the 27th of October till the 30th of October.","['Physics', 'Data Science']"
